ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ,label
0.072,0.2,-0.984,-1.465,-0.854,1.77,168.322,-4.087,11.799,lying
0.072,0.2,-0.983,-1.648,-0.366,1.892,168.311,-4.087,11.783,lying
0.068,0.2,-0.983,-1.648,-0.366,1.892,168.294,-4.087,11.761,lying
0.068,0.199,-0.985,-1.892,-0.305,1.831,168.283,-4.087,11.744,lying
0.067,0.199,-0.985,-1.892,-0.305,1.831,168.267,-4.087,11.722,lying
0.067,0.199,-0.984,-1.953,-0.305,1.77,168.25,-4.087,11.706,lying
0.066,0.199,-0.984,-1.953,-0.305,1.77,168.239,-4.087,11.689,lying
0.066,0.198,-0.985,-1.892,-0.488,1.648,168.223,-4.081,11.667,lying
0.066,0.198,-0.985,-1.892,-0.488,1.648,168.206,-4.081,11.651,lying
0.066,0.197,-0.986,-1.526,-0.61,1.465,168.195,-4.076,11.635,lying
0.068,0.197,-0.986,-1.526,-0.61,1.465,168.184,-4.076,11.618,lying
0.068,0.196,-0.985,-1.099,-0.732,1.343,168.173,-4.07,11.607,lying
0.068,0.196,-0.985,-1.099,-0.732,1.343,168.168,-4.065,11.591,lying
0.068,0.198,-0.984,-0.916,-0.488,1.099,168.162,-4.059,11.58,lying
0.066,0.198,-0.984,-0.916,-0.488,1.099,168.157,-4.054,11.563,lying
0.066,0.2,-0.983,-1.099,-0.244,1.038,168.151,-4.054,11.552,lying
0.064,0.2,-0.983,-1.099,-0.244,1.038,168.14,-4.054,11.541,lying
0.064,0.197,-0.983,-1.16,-0.427,0.854,168.135,-4.048,11.536,lying
0.064,0.197,-0.983,-1.16,-0.427,0.854,168.129,-4.043,11.525,lying
0.064,0.193,-0.981,-0.549,-0.854,0.671,168.124,-4.037,11.514,lying
0.068,0.193,-0.981,-0.549,-0.854,0.671,168.118,-4.032,11.508,lying
0.068,0.193,-0.979,0.488,-0.549,0.61,168.124,-4.026,11.497,lying
0.068,0.193,-0.979,0.488,-0.549,0.61,168.135,-4.021,11.492,lying
0.068,0.196,-0.979,1.16,0.366,0.854,168.146,-4.021,11.486,lying
0.061,0.196,-0.979,1.16,0.366,0.854,168.162,-4.021,11.475,lying
0.061,0.192,-0.98,2.319,1.404,0.732,168.179,-4.032,11.47,lying
0.064,0.192,-0.98,2.319,1.404,0.732,168.206,-4.048,11.464,lying
0.064,0.191,-0.977,3.174,1.831,0.549,168.239,-4.059,11.464,lying
0.067,0.191,-0.977,3.174,1.831,0.549,168.272,-4.076,11.464,lying
0.067,0.204,-0.973,2.991,2.014,1.221,168.305,-4.098,11.459,lying
0.069,0.204,-0.973,2.991,2.014,1.221,168.338,-4.12,11.448,lying
0.069,0.208,-0.979,2.319,2.38,1.282,168.371,-4.142,11.442,lying
0.07,0.208,-0.979,2.319,2.38,1.282,168.393,-4.164,11.431,lying
0.07,0.204,-0.987,1.953,2.991,1.099,168.415,-4.191,11.426,lying
0.072,0.204,-0.987,1.953,2.991,1.099,168.437,-4.219,11.42,lying
0.072,0.198,-0.99,1.282,2.747,0.732,168.453,-4.246,11.42,lying
0.068,0.198,-0.99,1.282,2.747,0.732,168.464,-4.274,11.415,lying
0.068,0.19,-0.991,1.648,1.892,-0.183,168.481,-4.296,11.42,lying
0.069,0.19,-0.991,1.648,1.892,-0.183,168.497,-4.307,11.426,lying
0.069,0.19,-0.991,2.625,0.671,-1.038,168.519,-4.318,11.431,lying
0.079,0.19,-0.991,2.625,0.671,-1.038,168.547,-4.318,11.442,lying
0.079,0.19,-0.984,3.357,0.183,-1.587,168.574,-4.318,11.459,lying
